Text,Language
Mũciĩ mũnene wa Israel nĩJerusalem.,Kikuyu
"Nĩ nyamũ ya mũthemba wa ""mamo"",iria iciaraga na ikongithia, thutha wa gukua ihu gwa kahinda(mammal).",Kikuyu
Bogotácity irĩa nene yaColombia.,Kikuyu
"Linxia City irĩ igũrũ mũno ta 1,900 m.",Kikuyu
Cenita Ĩgoka ya mbere ya mbĩrĩrio bururi waSwedenkambuniinĩ ya Assurance ya skandia nĩ mwabĩria wetagwo Leif Edvinsson[1].,Kikuyu
Nĩ gacoki ka bata mũno wĩra-inĩ wakaramuundowa nyamũ.,Kikuyu
('Chinekeme' kuumaNigeria)(Kĩngeretha'oh!,Kikuyu
Maita maigi namathieti thi cia ruraya namaka iguthaneria na thi igi cia NGO ta World Food Programme.,Kikuyu
Mũciĩ mũnene wa North Korea nĩPyongyang.,Kikuyu
City yaAdradasirĩ igũrũ mũno ta 1.051 m.,Kikuyu
Poznańcity irĩa nene yaPoland(Borandi).,Kikuyu
Sayxuncity irĩa nene yaUzbekistan.,Kikuyu
"Rĩrĩa ũthiũ wa gĩcicio wĩna mũkurungo (kwaga kĩeni), gĩcicio no kĩhaane ta ndurumeni ya gũkubũkia.",Kikuyu
