Language,Text,Cleaned_Text
English,These are absolute trash! I've had them for a week and all 3 of them are not charging my phone anymore. I'm frustrated. Do not buy. Waste of money. It tells my phone and iPad that it can't be supported.,these are absolute trash ive had them for a week and all 3 of them are not charging my phone anymore im frustrated do not buy waste of money it tells my phone and ipad that it cant be supported
Sheng,Rasta ame-doz kwa matha.,rasta amedoz kwa matha
Sheng,Buda ana-dai mtaa.,buda anadai mtaa
Swahili,"Kanuni za uhakika walikuwa mara kwa mara katika sampuli yetu ya mashirika ya kuongoza , na walikuwa kuwa ni muhimu kwa mafanikio ya cio wao .",kanuni za uhakika walikuwa mara kwa mara katika sampuli yetu ya mashirika ya kuongoza na walikuwa kuwa ni muhimu kwa mafanikio ya cio wao
Kikuyu,Mũndũ o wothe nĩ akenagio nĩ mwana wĩna mĩtugo mĩega.,mũndũ o wothe nĩ akenagio nĩ mwana wĩna mĩtugo mĩega
Kikuyu,"Nĩahũtũkire na Ngoga Ndũgĩru, akĩramatwo na Herwig Waidbacher and Silke Drexler.",nĩahũtũkire na ngoga ndũgĩru akĩramatwo na herwig waidbacher and silke drexler
Kikuyu,'Akwaaba' nĩ kiugo gĩa rũthiomi rwa 'Twi' kĩrĩa kĩngĩtabutwo ta 'nĩndakũnyita ũgeni'[3],akwaaba nĩ kiugo gĩa rũthiomi rwa twi kĩrĩa kĩngĩtabutwo ta nĩndakũnyita ũgeni3
Sheng,Donda ana-zusha kwa keja.,donda anazusha kwa keja
Kikuyu,Nĩ nyamũ nene gũkĩra nyamũ ciothe thĩini ya thĩ.,nĩ nyamũ nene gũkĩra nyamũ ciothe thĩini ya thĩ
Kikuyu,Sayxuncity irĩa nene yaUzbekistan.,sayxuncity irĩa nene yauzbekistan
English,Not sure what I expected. It retains a lot of heat. Sometimes wake up sweating.,not sure what i expected it retains a lot of heat sometimes wake up sweating
Swahili,"Baada ya kuona sevilla juu karibu na mitaa ya cobbled , majengo , kifumbu ya stork katika uendeshaji wa belfries au kuchukua daladala katika mto adaja kwenye monument iitwayo cuatro postes ( machapisho manne ) .",baada ya kuona sevilla juu karibu na mitaa ya cobbled majengo kifumbu ya stork katika uendeshaji wa belfries au kuchukua daladala katika mto adaja kwenye monument iitwayo cuatro postes machapisho manne
English,Not as comfortable as I thought it would be.,not as comfortable as i thought it would be
Kikuyu,Andu a mabururi ma muhuro wa abirika metaga Johannesburg Jobegi.,andu a mabururi ma muhuro wa abirika metaga johannesburg jobegi
Sheng,Arif ame-hepa kwa matha.,arif amehepa kwa matha
Sheng,Donda ina-lapa job.,donda inalapa job
Sheng,Mbogi tuna-chill mashinani.,mbogi tunachill mashinani
Kikuyu,Andũ a marika ma nahau kabere magakĩũria ciuria kumana na motaaro na maũgĩ marĩa marakĩrutanwo thaa ici.,andũ a marika ma nahau kabere magakĩũria ciuria kumana na motaaro na maũgĩ marĩa marakĩrutanwo thaa ici
English,has no clear screen protector,has no clear screen protector
English,"Perfect, just what I was hoping for. Very bright.",perfect just what i was hoping for very bright
Swahili,Chache za miili zipo kwenye display .,chache za miili zipo kwenye display
Sheng,Karao ame-hepa job.,karao amehepa job
English,Lasted about a month and a half before it ripped,lasted about a month and a half before it ripped
English,Very pleased. Great variety and fabulous customer service. Rings are comfortable and true to size. Will order again if they hold up long term.,very pleased great variety and fabulous customer service rings are comfortable and true to size will order again if they hold up long term
Swahili,Well i really enjoy reading the newspaper we get the daily and dallas morning news and i try to look at it if i get busy i don ' t get a chance to pick it up kama wiki hii i noticed nakala kadhaa na na lakini uh,well i really enjoy reading the newspaper we get the daily and dallas morning news and i try to look at it if i get busy i don t get a chance to pick it up kama wiki hii i noticed nakala kadhaa na na lakini uh
Sheng,Mbogi ana-zusha job.,mbogi anazusha job
Kikuyu,Mũtaratara wa kũruta wĩra wa kũruta mabuku no ũhũthĩre:,mũtaratara wa kũruta wĩra wa kũruta mabuku no ũhũthĩre
Sheng,Huyu boy ame-omoka base.,huyu boy ameomoka base
Kikuyu,"mabataro ma karungo ga gatatũ nĩ: kwĩrica itanya-inĩ rĩna, kwĩyata na kũganwo nĩ andũ",mabataro ma karungo ga gatatũ nĩ kwĩrica itanyainĩ rĩna kwĩyata na kũganwo nĩ andũ
Sheng,Mbogi ina-bamba mashinani.,mbogi inabamba mashinani
Swahili,Um-hum yeah right ni gari aina gani,umhum yeah right ni gari aina gani
English,I bought this product 10 months ago and last night the gasket on the water tank failed and I woke up to a kitchen covered in water. It seems that the Capresso coffee makers (which I have bought for years) have become less reliable.,i bought this product 10 months ago and last night the gasket on the water tank failed and i woke up to a kitchen covered in water it seems that the capresso coffee makers which i have bought for years have become less reliable
English,It broke...I went to return and it is 2 days past the month for return date...only used 3-4 times and the pole already broke...pretty sad quality...,it brokei went to return and it is 2 days past the month for return dateonly used 34 times and the pole already brokepretty sad quality
Kikuyu,"Nĩ ũndũ ũcio, ũrũaru ũcio nĩ wagomeire na njĩra nene mũno harĩ atumia na ciana.",nĩ ũndũ ũcio ũrũaru ũcio nĩ wagomeire na njĩra nene mũno harĩ atumia na ciana
Swahili,Mashirika hayo yanaanza kwa kutathmini kiwango ambacho programu na shughuli zao huchangia kukutana na lengo lao na matokeo ya taka .,mashirika hayo yanaanza kwa kutathmini kiwango ambacho programu na shughuli zao huchangia kukutana na lengo lao na matokeo ya taka
Kikuyu,Tűyamű tűnini tűkoragwo na magűrű matadatű ta thigiriri na műthűa.,tűyamű tűnini tűkoragwo na magűrű matadatű ta thigiriri na műthűa
Sheng,Huyu boy ina-lapa chuom.,huyu boy inalapa chuom
Kikuyu,"wonjoria,Ũteti, na wĩtĩkio(ndini) nĩ imwe cia iharo iria mathomo ma mbũgĩ cia kĩrĩndĩ itonyaga.",wonjoriaũteti na wĩtĩkiondini nĩ imwe cia iharo iria mathomo ma mbũgĩ cia kĩrĩndĩ itonyaga
Swahili,"Elegance ya ikulu inakuwa wazi tu katika eneo la ndani , na ngazi zake saba za turreted na handsome za handsome .",elegance ya ikulu inakuwa wazi tu katika eneo la ndani na ngazi zake saba za turreted na handsome za handsome
Kikuyu,Changzhoucity irĩa nene yaChina.,changzhoucity irĩa nene yachina
Kikuyu,Cĩtĩ ikoragũo imanja cia iwanda cia tekinoronjĩ cia ũhoro.,cĩtĩ ikoragũo imanja cia iwanda cia tekinoronjĩ cia ũhoro
Sheng,Donda ina-bamba chuom.,donda inabamba chuom
Sheng,Buda ime-weza mtaa.,buda imeweza mtaa
Sheng,Arif ana-dai mashinani.,arif anadai mashinani
English,Great case if you drop your phone a lot. It will protect it! Downside it’s really big & bulky. I often put my phone in my back pocket & it didn’t fit very well. Also the coloring of my jeans came off onto the case causing it to discolor & look dirty.,great case if you drop your phone a lot it will protect it downside its really big bulky i often put my phone in my back pocket it didnt fit very well also the coloring of my jeans came off onto the case causing it to discolor look dirty
Sheng,Donda ina-lapa chuom.,donda inalapa chuom
Kikuyu,Rĩu kũrĩ mwaka wa 2017 nowĩrorere ceceni nyingĩ mũno ũrĩ gũkũ bũrũri-inĩ.,rĩu kũrĩ mwaka wa 2017 nowĩrorere ceceni nyingĩ mũno ũrĩ gũkũ bũrũriinĩ
Swahili,Nadhani kiugooriginal unajua unaweza kuwa na mikopo yako ya chuo kucheleweshwa sasa kwa sababu nilikuwa yao kwa sababu nimerudi katika shule ya kuhitimu miaka thelathini na moja .,nadhani kiugooriginal unajua unaweza kuwa na mikopo yako ya chuo kucheleweshwa sasa kwa sababu nilikuwa yao kwa sababu nimerudi katika shule ya kuhitimu miaka thelathini na moja
Kikuyu,"Ciana cia thikũ ici maita maingĩ irekora igĩcaria kĩrĩra kuuma ihumo ingĩ ta thimũ, arata aa marika mao ona karabiceni-inĩ.",ciana cia thikũ ici maita maingĩ irekora igĩcaria kĩrĩra kuuma ihumo ingĩ ta thimũ arata aa marika mao ona karabiceniinĩ
Swahili,"Kabla ya hapo , alifanya kazi kwa huduma za cambridge na somerville huduma za kisheria , kulingana na cambridge , na kwa ajili ya servces wa kisheria wa massachusetts kwa katika",kabla ya hapo alifanya kazi kwa huduma za cambridge na somerville huduma za kisheria kulingana na cambridge na kwa ajili ya servces wa kisheria wa massachusetts kwa katika
Sheng,Karao ame-omoka chuom.,karao ameomoka chuom
Kikuyu,"Thoome-inĩ ya wonjoria cia kũruta,kĩhũndanĩ itĩna rĩrĩa arutwo na aciari ao mathiaga kũgũra indo cia mathomo na nguo cia mwaka wa cukuru.",thoomeinĩ ya wonjoria cia kũrutakĩhũndanĩ itĩna rĩrĩa arutwo na aciari ao mathiaga kũgũra indo cia mathomo na nguo cia mwaka wa cukuru
Sheng,Mbogi tuna-chill kwa matha.,mbogi tunachill kwa matha
Swahili,Na kwa kweli kwani kwamba haikuwa uzingatiaji wetu wakati sisi ilikuwa ni jambo tupu sana wao hata nyumba na tulikuwa mpya kwa mchakato huu mzima na wote sisi ni kwamba ni nyumba rahisi ambayo hii kavu maendeleo uh hivyo ni kuwa nzuri sana na,na kwa kweli kwani kwamba haikuwa uzingatiaji wetu wakati sisi ilikuwa ni jambo tupu sana wao hata nyumba na tulikuwa mpya kwa mchakato huu mzima na wote sisi ni kwamba ni nyumba rahisi ambayo hii kavu maendeleo uh hivyo ni kuwa nzuri sana na
English,Cable works great! Connected a Lenovo laptop to a DVI input monitor without any difficulties.,cable works great connected a lenovo laptop to a dvi input monitor without any difficulties
Sheng,Msee ina-lapa base.,msee inalapa base
English,Good for the price. Dog chewed it up in one day though. Will buy stainless steal next time. If available.,good for the price dog chewed it up in one day though will buy stainless steal next time if available
English,"kinda big and long earring, cute and great quality!, loved it!",kinda big and long earring cute and great quality loved it
Kikuyu,"Kĩrathi kĩa nobero, Ngűthuguthia na guthima kwotamu thithitemu nyene, Royal swedish Academy of sciences 2012.",kĩrathi kĩa nobero ngűthuguthia na guthima kwotamu thithitemu nyene royal swedish academy of sciences 2012
Swahili,"Vyombo vya habari na cans vya wastani , yakini kwamba masuala haya ni udhaifu wa chama na kwamba hoja zake za kiuchumi ni nguvu zake , na maneno ya bush kama kukemea kwa republican puritanism .",vyombo vya habari na cans vya wastani yakini kwamba masuala haya ni udhaifu wa chama na kwamba hoja zake za kiuchumi ni nguvu zake na maneno ya bush kama kukemea kwa republican puritanism
Kikuyu,Zhuozhoucity irĩa nene yaChina.,zhuozhoucity irĩa nene yachina
Sheng,Ma-dem ame-hepa downtown.,madem amehepa downtown
Swahili,"Mbinu hiyo alikuwa na wafanyabiashara wa ashfaka miaka 1,000 baadaye katika ? do anatolia , wapi ilikuwa qui ? sk ? áy kuwa na watu wa kienyeji hatti , ambao , katika eneo hili , tayari na tangazo ? Ϳzanced jimbo la ustaarabu .",mbinu hiyo alikuwa na wafanyabiashara wa ashfaka miaka 1000 baadaye katika do anatolia wapi ilikuwa qui sk áy kuwa na watu wa kienyeji hatti ambao katika eneo hili tayari na tangazo ϳzanced jimbo la ustaarabu
English,At first. Like seriously what kind of book is this. Then wow.. bravo... bravo.... seriously this is an amazing book.,at first like seriously what kind of book is this then wow bravo bravo seriously this is an amazing book
Swahili,Masinde alikuwa ameona baadhi ya picha za brando na kuamua alihitaji kuzungumza na muigizaji wa fetsa kuhusu uzito wake .,masinde alikuwa ameona baadhi ya picha za brando na kuamua alihitaji kuzungumza na muigizaji wa fetsa kuhusu uzito wake
English,Love the variety and pups seem to enjoy!,love the variety and pups seem to enjoy
Swahili,"A alikuwa na chakula-tips , alipata oro cruz , mmoja wa migodi tajiri katika milima ya tubacca .",a alikuwa na chakulatips alipata oro cruz mmoja wa migodi tajiri katika milima ya tubacca
Sheng,Donda ame-doz mtaa.,donda amedoz mtaa
English,"The fit of these shoes feels a bit wide. They slide a bit when I wear them with trouser socks, but feel fine with a thicker wool like sock. Close up they look a bit more old fashioned then the pic suggests. I kept them, but I would not buy them again.",the fit of these shoes feels a bit wide they slide a bit when i wear them with trouser socks but feel fine with a thicker wool like sock close up they look a bit more old fashioned then the pic suggests i kept them but i would not buy them again
English,Nice and sturdy. Well made. Great value!,nice and sturdy well made great value
Sheng,Ma-dem ame-doz base.,madem amedoz base
Swahili,Viwango vya mifumo ni muhimu kwa mashirika ya blouse blouse na kuchora au kurekebisha mifumo ili kuchukua faida ya pita ya teknolojia .,viwango vya mifumo ni muhimu kwa mashirika ya blouse blouse na kuchora au kurekebisha mifumo ili kuchukua faida ya pita ya teknolojia
English,Love the kettle so much I purchased a second one. Wish this vendor was Prime. Ordered white version and received ORANGE so have to waste my time dealing with return.,love the kettle so much i purchased a second one wish this vendor was prime ordered white version and received orange so have to waste my time dealing with return
Sheng,Msee tuna-chill area.,msee tunachill area
Sheng,Karao wame-kam chuom.,karao wamekam chuom
Kikuyu,Hinesvillecity irĩa nene yaUSA.,hinesvillecity irĩa nene yausa
Swahili,"Ofisi ya uhasibu ya jumla , kudhibiti faida inayoibuka kutoka kwa matumizi ya utendaji wa utendaji , gao-01-115 ( washington , d. c . : oktoba 30 , 2000 ) .",ofisi ya uhasibu ya jumla kudhibiti faida inayoibuka kutoka kwa matumizi ya utendaji wa utendaji gao01115 washington d c oktoba 30 2000
English,Does what it is supposed to do.,does what it is supposed to do
Sheng,Huyu boy ana-dai mtaa.,huyu boy anadai mtaa
Swahili,"Richard brown alitoa maoni juu ya gharama za juu za juu zinazohitajika ili kuendeleza teknolojia ya teknolojia ya kuwasilisha huduma hizi , kama vile uchunguzi wa kompyuta .",richard brown alitoa maoni juu ya gharama za juu za juu zinazohitajika ili kuendeleza teknolojia ya teknolojia ya kuwasilisha huduma hizi kama vile uchunguzi wa kompyuta
English,"Everything was great,no problem with delivery etc...Ordered a few other things,outside the packaging I'm extremely pleased with the products...Will def be using again.",everything was greatno problem with delivery etcordered a few other thingsoutside the packaging im extremely pleased with the productswill def be using again
Swahili,"( unaweza kupakua toleo la jaribio la ie4 sasa , iwapo unataka . )",unaweza kupakua toleo la jaribio la ie4 sasa iwapo unataka
Swahili,"Watch him , so yeye kwa mshtuko akiamka",watch him so yeye kwa mshtuko akiamka
Sheng,Arif ime-weza base.,arif imeweza base
Kikuyu,Dashiqiaocity irĩa nene yaChina.,dashiqiaocity irĩa nene yachina
Swahili,Hakika haya ni katika miujiza ya mwenyezi mungu . ' vile harland alikuwa looking-the ibada-ni almost .,hakika haya ni katika miujiza ya mwenyezi mungu vile harland alikuwa lookingthe ibadani almost
English,"Not worth the money. Missing light and metal edges were distorted and bent. Hardware was also missing. Update, Glove seam split open second time using it. This is junk!!!!!",not worth the money missing light and metal edges were distorted and bent hardware was also missing update glove seam split open second time using it this is junk
Sheng,Msee ame-doz kwa keja.,msee amedoz kwa keja
English,"This came noticeably second hand, already opened and taped over. Very disappointed.",this came noticeably second hand already opened and taped over very disappointed
Kikuyu,"Aidara nimahigorira ceceni cia radio Mozdahir FM kou Dakar, na ceceni ya radio Zahra FM kou Kolda imwe cia radio Senegal.",aidara nimahigorira ceceni cia radio mozdahir fm kou dakar na ceceni ya radio zahra fm kou kolda imwe cia radio senegal
Sheng,Rasta ina-bamba downtown.,rasta inabamba downtown
English,The watch looks good but the clasp is impossible! I tried to coax and adjust it so it would hold but there was no way it would work. The clasp makes a slight click when it closes but it will not lock the band on your wrist. The watch continually fell off.,the watch looks good but the clasp is impossible i tried to coax and adjust it so it would hold but there was no way it would work the clasp makes a slight click when it closes but it will not lock the band on your wrist the watch continually fell off
Sheng,Rasta ame-hepa job.,rasta amehepa job
Swahili,Dunia ni mahali salama sana sasa kuliko ilikuwa miaka mitatu iliyopita .,dunia ni mahali salama sana sasa kuliko ilikuwa miaka mitatu iliyopita
Kikuyu,Mũciĩ mũnene wa Lado warĩ gĩcogi ya Lado.,mũciĩ mũnene wa lado warĩ gĩcogi ya lado
English,Be careful of the center clip and dont push it too much or the plastic might crack,be careful of the center clip and dont push it too much or the plastic might crack
English,"I am allergic to cocoa, and dairy and gluten. Finding this bar was a chocolate lovers dream! It really tastes like a chocolate bar! To be sure, I had a chocolate eating friend try it and she liked it too.",i am allergic to cocoa and dairy and gluten finding this bar was a chocolate lovers dream it really tastes like a chocolate bar to be sure i had a chocolate eating friend try it and she liked it too
Swahili,Kila mara naweza tikisa dereva macho kwa dharura ya kweli. madume ',kila mara naweza tikisa dereva macho kwa dharura ya kweli madume
English,Said it would fit my truck and it didn't...and it was too late to return.,said it would fit my truck and it didntand it was too late to return
Swahili,Tovuti ya mtandao wa gao ( www.gao.gov ) ina taarifa za abstracts na fulltext za taarifa za sasa na ushuhuda na nyaraka za kupanua za bidhaa za zamani .,tovuti ya mtandao wa gao wwwgaogov ina taarifa za abstracts na fulltext za taarifa za sasa na ushuhuda na nyaraka za kupanua za bidhaa za zamani
English,"The book started out well and then just went on and on and on....... and never quite got to the point until I just quit reading it. I got to about 60% of the way and simply could not continue. I see where others have simply skipped ahead full chapters to get to the last 15% of the book. By the time I gave up my interest had simply disappeared. Too bad, could have been written in a much more concise and interesting format.",the book started out well and then just went on and on and on and never quite got to the point until i just quit reading it i got to about 60 of the way and simply could not continue i see where others have simply skipped ahead full chapters to get to the last 15 of the book by the time i gave up my interest had simply disappeared too bad could have been written in a much more concise and interesting format
English,"lasted six months of very light use before the fuse blew. Apparently this is a common problem with this model, and repair is costly. Just stopped working in the middle of cooking a quiche. NOT happy at all. Won't buy another one.",lasted six months of very light use before the fuse blew apparently this is a common problem with this model and repair is costly just stopped working in the middle of cooking a quiche not happy at all wont buy another one
Sheng,Msee ame-doz chuom.,msee amedoz chuom
Kikuyu,Ndagũrĩti nĩ indo iria itarĩ cia mwene iria igĩhoota kũgĩa mwene.,ndagũrĩti nĩ indo iria itarĩ cia mwene iria igĩhoota kũgĩa mwene
Sheng,Donda ina-lapa base.,donda inalapa base
Swahili,"Kama kwenye visiwa vya kitropiki zaidi , mwendo wa maisha huendeleza kuwa mvivu .",kama kwenye visiwa vya kitropiki zaidi mwendo wa maisha huendeleza kuwa mvivu
Swahili,"Katika majadiliano juu ya ufanisi wa matangazo ya kupambana na madawa ya kulevya , carlson ( gang gang ) anasema , i madawa yoyote tangu nikaona kuwa tangazo la aliyepaa pan .",katika majadiliano juu ya ufanisi wa matangazo ya kupambana na madawa ya kulevya carlson gang gang anasema i madawa yoyote tangu nikaona kuwa tangazo la aliyepaa pan
Kikuyu,"Njĩra ya bara ĩmwe ĩna ũraihu wa  kilomita1,860 kilometres (1,160mi)na ĩrũgamagĩrũo nĩ ndamathia ya Tanzania-Zambia Railway Authority (TAZARA).",njĩra ya bara ĩmwe ĩna ũraihu wa kilomita1860 kilometres 1160mina ĩrũgamagĩrũo nĩ ndamathia ya tanzaniazambia railway authority tazara
Kikuyu,Nĩ ĩthiũrũrũkaga na mũlaini wa Iqweta.,nĩ ĩthiũrũrũkaga na mũlaini wa iqweta
English,"It was bought for my 14 years old phone, he loves the color and the case in general. I am a little disappointed that there is not more screen protection, just don't make them anymore.",it was bought for my 14 years old phone he loves the color and the case in general i am a little disappointed that there is not more screen protection just dont make them anymore
English,Just what I was looking for bath time,just what i was looking for bath time
English,When arrived serveral keys were already broken. However otherwise it’s a pretty good beginner keyboard.,when arrived serveral keys were already broken however otherwise its a pretty good beginner keyboard
English,they look and feel plastic and large for a slim ankle,they look and feel plastic and large for a slim ankle
Kikuyu,Nokuo mũndũ arutagwo mĩtugo ĩrĩa ĩtĩkĩrĩkĩte rũrĩrĩ-inĩ.,nokuo mũndũ arutagwo mĩtugo ĩrĩa ĩtĩkĩrĩkĩte rũrĩrĩinĩ
Swahili,"Ni nini zaidi , kiwango cha ndoa cha white-black bakia kwa kiasi kikubwa zaidi ya viwango vya white intermarriage na nyingine , mbio za nonblack .",ni nini zaidi kiwango cha ndoa cha whiteblack bakia kwa kiasi kikubwa zaidi ya viwango vya white intermarriage na nyingine mbio za nonblack
English,This is how my product came!,this is how my product came
Swahili,"Ngozi ni bidhaa maarufu , ingawa nadra sana ; jaribu tel aviv .",ngozi ni bidhaa maarufu ingawa nadra sana jaribu tel aviv
Swahili,Na hakika wao wamo katika watu wa mbali .,na hakika wao wamo katika watu wa mbali
English,Deep clean for sensitive skin. I have used it for one time only every day.,deep clean for sensitive skin i have used it for one time only every day
Swahili,"Sasa , don , bi er cowley .",sasa don bi er cowley
Kikuyu,Kűmenyekana kwa atomu ni kwahotithirie gűthondekwo gwa atomĩki thiori ĩria yatumĩrirwo gűthondeka  periodic table.,kűmenyekana kwa atomu ni kwahotithirie gűthondekwo gwa atomĩki thiori ĩria yatumĩrirwo gűthondeka periodic table
Kikuyu,ngũkũ(Gallus domesticus) nĩ mũthemba wa nyoni iria cirĩithagio nĩũndũ wa nyama ciao na matumbĩ.,ngũkũgallus domesticus nĩ mũthemba wa nyoni iria cirĩithagio nĩũndũ wa nyama ciao na matumbĩ
Sheng,Donda ana-dai area.,donda anadai area
English,just ok. inner plastic curtain keeps falling off the hooks.,just ok inner plastic curtain keeps falling off the hooks
Kikuyu,"wahota kwanjiria ũndũ ũkũhigũrĩre mieke, ta kwanjia kiwanda gia  guthondeka mĩnyore ũgĩe na mweke wa gũthondeka iraĩ cia pracitiki.",wahota kwanjiria ũndũ ũkũhigũrĩre mieke ta kwanjia kiwanda gia guthondeka mĩnyore ũgĩe na mweke wa gũthondeka iraĩ cia pracitiki
Sheng,Rasta ime-weza downtown.,rasta imeweza downtown
Sheng,Mbogi ame-hepa mashinani.,mbogi amehepa mashinani
Swahili,"Nyumba ya cottages karibu na upwa , anyongwe kama makazi ya watu wenye ofunika kubwa , ni ndani ya maji ; baadhi ya kuja na maji ya moto .",nyumba ya cottages karibu na upwa anyongwe kama makazi ya watu wenye ofunika kubwa ni ndani ya maji baadhi ya kuja na maji ya moto
Kikuyu,Ngari mĩthemba mĩeruNgari cia thitima.,ngari mĩthemba mĩerungari cia thitima
Swahili,Kukatika kwa bajeti na programu za michezo katika shule nyingi za mjini .,kukatika kwa bajeti na programu za michezo katika shule nyingi za mjini
Swahili,' we can ' t pitia hiyo madume ',we can t pitia hiyo madume
Sheng,Ma-dem ame-omoka job.,madem ameomoka job
English,Great product but returned because u need to be smarter then they say to understand,great product but returned because u need to be smarter then they say to understand
Swahili,Milioni 7 katika nyakati za los angeles na zaidi ya dola milioni 3 na makaratasi mengine makubwa .,milioni 7 katika nyakati za los angeles na zaidi ya dola milioni 3 na makaratasi mengine makubwa
Sheng,Karao ina-lapa base.,karao inalapa base
Swahili,Bajeti baadhi ya muda ni hisia ya kawaida ya mtindo wa maisha ambayo iliyofafanuliwa sehemu hii ya jiji kwa ajili ya miaka 300,bajeti baadhi ya muda ni hisia ya kawaida ya mtindo wa maisha ambayo iliyofafanuliwa sehemu hii ya jiji kwa ajili ya miaka 300
Kikuyu,City ya Binzhou irĩ igũrũ mũno ta 20 m.,city ya binzhou irĩ igũrũ mũno ta 20 m
Kikuyu,Ciandarũa no ithondekwo na rangi o wothe kũhũthĩrĩa theũruma ngũrani.,ciandarũa no ithondekwo na rangi o wothe kũhũthĩrĩa theũruma ngũrani
English,"Everything worked as it should, the motion detection, solar charging, worked great! I just don't see where they would be able to be used, you need bright big light for outside. THese are solar powered soo.. You do the math :)",everything worked as it should the motion detection solar charging worked great i just dont see where they would be able to be used you need bright big light for outside these are solar powered soo you do the math
Kikuyu,City ya Shangqiu irĩ igũrũ mũno ta 50 m.,city ya shangqiu irĩ igũrũ mũno ta 50 m
Kikuyu,ta hihi ciana ciathukurumatha ma kũhurũka(break time) nĩ ci rimũthaga hatarĩ na mũtaratara.,ta hihi ciana ciathukurumatha ma kũhurũkabreak time nĩ ci rimũthaga hatarĩ na mũtaratara
Kikuyu,"Kiugo ""njekĩma"" kiumanĩte na 'nje' kiugo gĩa mũrimũ wa maithoNjereri;naNgĩma.",kiugo njekĩma kiumanĩte na nje kiugo gĩa mũrimũ wa maithonjererinangĩma
English,Only two per package. Wish I had known that. Otherwise very cute.,only two per package wish i had known that otherwise very cute
Swahili,"Kutoka basi mpaka 1812 , wakati swiss uswisi explorer john l. burckhardt rediscovered petra , ilikuwa karibu kabisa sahau .",kutoka basi mpaka 1812 wakati swiss uswisi explorer john l burckhardt rediscovered petra ilikuwa karibu kabisa sahau
Swahili,Unamaanisha nini ? yeye mwanaume mara mbili size yake,unamaanisha nini yeye mwanaume mara mbili size yake
English,Love it. Great support and stays in place perfectly.,love it great support and stays in place perfectly
English,"I am so disappointed with this seller. I have ordered this order THREE TIMES. One out of the three times i got the right part. ONE! I had to return that weird piece once already, and now the same thing happened. I dont even know what the problem is but i wish if the seller saw this could do something about it because it is ridiculous at this point Do not buy from here",i am so disappointed with this seller i have ordered this order three times one out of the three times i got the right part one i had to return that weird piece once already and now the same thing happened i dont even know what the problem is but i wish if the seller saw this could do something about it because it is ridiculous at this point do not buy from here
Kikuyu,Mũtitũ mũnene muno na uria uteithagia kwagiria riera.,mũtitũ mũnene muno na uria uteithagia kwagiria riera
Swahili,Cha uyakwazi .,cha uyakwazi
Sheng,Rasta ime-weza chuom.,rasta imeweza chuom
Sheng,Mbogi ina-bamba area.,mbogi inabamba area
Sheng,Donda ana-dai downtown.,donda anadai downtown
Sheng,Msee ina-lapa mashinani.,msee inalapa mashinani
Sheng,Ma-dem wame-kam area.,madem wamekam area
Kikuyu,"Cia mathako ni ceceni taSelect Sport, Blitz, Select Sport 2, SS9 East,SuperSport 9naKwese Free Sport.",cia mathako ni ceceni taselect sport blitz select sport 2 ss9 eastsupersport 9nakwese free sport
English,It says this can hold up to 300 lbs so i bought it. Didnt float at all when used in saltwater.,it says this can hold up to 300 lbs so i bought it didnt float at all when used in saltwater
Sheng,Huyu boy ame-doz kwa keja.,huyu boy amedoz kwa keja
Sheng,Arif ana-zusha base.,arif anazusha base
Kikuyu,Ĩmwe ya nyĩmbo ciake nĩkoragwo ũugũrĩrĩio-inĩ wa thinema ya 2004 ĩtagwo 'HotelRwanda'.,ĩmwe ya nyĩmbo ciake nĩkoragwo ũugũrĩrĩioinĩ wa thinema ya 2004 ĩtagwo hotelrwanda
Kikuyu,Hithitori ya tekinoronjĩ cia ngari ni:,hithitori ya tekinoronjĩ cia ngari ni
Kikuyu,City ya St. Louis irĩ igũrũ mũno ta 142 m.,city ya st louis irĩ igũrũ mũno ta 142 m
Kikuyu,City ya Kraków irĩ igũrũ mũno ta 188–383 m.,city ya kraków irĩ igũrũ mũno ta 188383 m
Sheng,Karao ame-hepa base.,karao amehepa base
Swahili,"Cummins , kiongozi wa mauzo ya dunia katika injini za diesel zaidi ya 200 horsepower , kwa ufanisi hutumia mifano kuhakikisha kuwa ubunifu huo ni imara na anaamini katika thamani ya prototyping katika maendeleo ya bidhaa .",cummins kiongozi wa mauzo ya dunia katika injini za diesel zaidi ya 200 horsepower kwa ufanisi hutumia mifano kuhakikisha kuwa ubunifu huo ni imara na anaamini katika thamani ya prototyping katika maendeleo ya bidhaa
Swahili,"Utu wa msingi wa mtu ni na jinsi yeye katika dunia hii , au iwapo mtu mwingine anaweza kuwa na dna sawa .",utu wa msingi wa mtu ni na jinsi yeye katika dunia hii au iwapo mtu mwingine anaweza kuwa na dna sawa
English,I like the fact that this one came with the pump but the pump was a cheap quality and broke only a few days after I purchased it and I've now purchased three of these tubs and they probably only lasted a month most before they started getting holes and popping,i like the fact that this one came with the pump but the pump was a cheap quality and broke only a few days after i purchased it and ive now purchased three of these tubs and they probably only lasted a month most before they started getting holes and popping
English,"Great switches if you know you have a common wire in your existing switch. Aesthetically, it looks much better than other brands. Fairly easy to install, assuming you have a common (white) wire available. If you don't, its easier to go with the smart bulbs and group them together in your app. 4 stars until the price is more reasonable.",great switches if you know you have a common wire in your existing switch aesthetically it looks much better than other brands fairly easy to install assuming you have a common white wire available if you dont its easier to go with the smart bulbs and group them together in your app 4 stars until the price is more reasonable
Kikuyu,Lianyungangcity irĩa nene yaChina.,lianyungangcity irĩa nene yachina
